N_max,P_mem,OITR,P_acc,P_pool,P_upsamp,P_yolo,BRAM_sys,DSP_sys,Latency_network
32,4,1,4,1,4,4,149,109,1337.783981
32,4,1,4,2,4,1,149,91,1336.918701
32,4,1,4,2,4,2,149,97,1336.918701
32,4,1,4,2,4,4,149,109,1336.918701
32,4,2,2,1,4,1,148,89,850.928848
32,4,2,2,1,4,2,148,95,850.928848
32,4,2,2,1,4,4,148,107,850.928848
32,4,2,2,2,4,1,148,89,850.063568
32,4,2,2,2,4,2,148,95,850.063568
32,4,2,2,2,4,4,148,107,850.063568
32,4,2,4,1,4,1,149,91,850.928848
32,4,2,4,1,4,2,149,97,850.928848
32,4,2,4,1,4,4,149,109,850.928848
32,4,2,4,2,4,1,149,91,850.063568
32,4,2,4,2,4,2,149,97,850.063568
32,4,2,4,2,4,4,149,109,850.063568
32,4,3,2,1,4,1,148,89,850.928848
32,4,3,2,1,4,2,148,95,850.928848
32,4,3,2,1,4,4,148,107,850.928848
32,4,3,2,2,4,1,148,89,850.063568
32,4,3,2,2,4,2,148,95,850.063568
32,4,3,2,2,4,4,148,107,850.063568
32,4,3,4,1,4,1,149,91,850.928848
32,4,3,4,1,4,2,149,97,850.928848
32,4,3,4,1,4,4,149,109,850.928848
32,4,3,4,2,4,1,149,91,850.063568
32,4,3,4,2,4,2,149,97,850.063568
32,4,3,4,2,4,4,149,109,850.063568
32,4,4,2,1,4,1,148,89,821.658742
32,4,4,2,1,4,2,148,95,821.658742
32,4,4,2,1,4,4,148,107,821.658742
32,4,4,2,2,4,1,148,89,820.793462
32,4,4,2,2,4,2,148,95,820.793462
32,4,4,2,2,4,4,148,107,820.793462
32,4,4,4,1,4,1,149,91,821.658742
32,4,4,4,1,4,2,149,97,821.658742
32,4,4,4,1,4,4,149,109,821.658742
